Season,Episode,Speaker,To,Line,Location
7,1,Nurse,Mark,"Oh, it's you again.",Hospital
7,1,Mark,Nurse,Yes.,Hospital
7,1,Nurse,Mark,"OK, well after a lot of hassle, I've actually managed to swap things around, and it looks like the birthing pool will be available, so-",Hospital
7,1,Mark,Nurse,"Yes, well as it happens, things have changed and my partner no longer requires the pool. No, we want the what's it called, the drugs pipe, the heroin pump, the crack tube, whatever you've got. I want to stop her suffering.",Hospital
7,1,Nurse,Mark,Wish I'd known this earlier.,Hospital
7,1,Mark,Mark,"Hmmm. You might be ripe for a trim, in the cuts.",Hospital
7,1,Jeremy,Zahra,"So, before the accident, how long had you two been, hanging out?",Ben's Hospital Room
7,1,Zahra,Jeremy,Three months.,Ben's Hospital Room
7,1,Jeremy,Zahra,"OK. And how was it going, were you two very...?",Ben's Hospital Room
7,1,Zahra,Jeremy,"Oh, he's very committed to his work and he did the Iron Man triathlon, twice.",Ben's Hospital Room
7,1,Jeremy,Zahra,"Wow, so out of those three months, you can knock off at least two weeks for training.",Ben's Hospital Room
7,1,Zahra,Jeremy,"He loves his dance music, and drugs and video games.",Ben's Hospital Room
7,1,Jeremy,Zahra,"God, really?",Ben's Hospital Room
7,1,Zahra,Jeremy,Whereas I love to read.,Ben's Hospital Room
7,1,Jeremy,Zahra,"Oh, me too. I adore to read, it's amazing, isn't it? Because a book, I always say, can be about anything.",Ben's Hospital Room
7,1,Zahra,Jeremy,"That's so true. Yeah, I often read to Ben, but he's more of a magazine, FHM, kind of guy.",Ben's Hospital Room
7,1,Jeremy,Zahra,"Right, yeah.",Ben's Hospital Room
7,1,Zahra,Jeremy,"Oh, shit, I'd better get this. Would you like to...?",Ben's Hospital Room
7,1,Jeremy,Zahra,"Oh, sure.",Ben's Hospital Room
7,1,Jeremy,Ben,"""This month's hot tip...""",Ben's Hospital Room
7,1,Zahra,Others,Hello?,Ben's Hospital Room
7,1,Jeremy,Ben,"...the premier Wrangler collection. When has good denim ever been cheap? The answer is never. Look, dude, bit of a weird one, but if you aren't gonna make it through, I mean if you can't, then don't worry, because Zahra's great. And, I'll be waiting, and if you check out, in a friendly way, not like a vulture, to check in. And don't worry, I'm not gonna start waggling on any of your tubes, but, and if you have a problem with anything I've just said then, do give me a sign. No? OK. ""I'm in a swimming pool and my bikini pops off. I'm not bothered, I'll just carry on"", and that's a comment from ""Kayleigh, Islip"". You see a picture of Kayleigh there, and her nice bum.",Ben's Hospital Room
7,1,Mark,Jeremy,Jez?,Ben's Hospital Room
7,1,Jeremy,Mark,"Oh, hi, Mark.",Ben's Hospital Room
7,1,Mark,Jeremy,What are you doing?,Ben's Hospital Room
7,1,Jeremy,Mark,I'm reading FHM to this unconscious guy.,Ben's Hospital Room
7,1,Mark,Jeremy,But why?,Ben's Hospital Room
7,1,Jeremy,Mark,Because I have a heart.,Ben's Hospital Room
7,1,Mark,Jeremy,Yeah?,Ben's Hospital Room
7,1,Zahra,Jeremy,"Work's crazy, thanks so much.",Ben's Hospital Room
7,1,Mark,Jeremy,"Oh, OK.",Ben's Hospital Room
7,1,Jeremy,Mark,What?,Ben's Hospital Room
7,1,Mark,Jeremy,Nothing.,Ben's Hospital Room
7,1,Jeremy,Mark,What?,Ben's Hospital Room
7,1,Mark,Jeremy,Nothing.,Ben's Hospital Room
7,1,Jeremy,Mark,"No, go on, what?",Ben's Hospital Room
7,1,Mark,Jeremy,"No, it's fine.",Ben's Hospital Room
7,1,Jeremy,Mark,What are you saying?,Ben's Hospital Room
7,1,Mark,Jeremy,Nothing.,Ben's Hospital Room
7,1,Jeremy,Mark,"Look, there's no need to be all cynical, just because-",Ben's Hospital Room
7,1,Mark,Jeremy,"Jeremy, it's fine. I'm actually quite glad it's all a filthy duplicitous ploy. I was worried you had a complete personality change.",Ben's Hospital Room
7,1,Jeremy,Mark,"Oh, just because I'm doing something decent, there has to be some weird thing going on?",Ben's Hospital Room
7,1,Mark,Jeremy,"Yes. Normally, yes.",Ben's Hospital Room
7,1,Zahra,Jeremy,"Thanks, Jez.",Ben's Hospital Room
7,1,Mark,Jeremy,"I should be getting back to Sophie. Jez, would you consider coming with me? I don't think I'm coping all that well.",Ben's Hospital Room
7,1,Jeremy,Mark,"Yeah, cool man.",Ben's Hospital Room
7,1,Mark,Jeremy,You don't mind?,Ben's Hospital Room
7,1,Jeremy,Mark,"No, kind of always wanted to see a birth. Be kind of like Alien, but sexy. Sexy Alien.",Ben's Hospital Room
7,1,Mark,Sophie,"Hey, Soph, it's me, and Jez!",Delivery Room
7,1,Sophie,Mark,"When's the anaesthetist coming, Mark, I need something?",Delivery Room
7,1,Mark,Sophie,"OK, look, I went crazy at them, I totally lost it actually, but the thing is that the anaesthetist has this C-section now, and then there's another procedure that he's booked in to-",Delivery Room
7,1,Sophie,Mark,What?!,Delivery Room
7,1,Jeremy,Mark,"Tell them to pull their fingers out, Mark.",Delivery Room
7,1,Mark,Sophie,"Look, the anaesthetist can't be in two places at once. I mean, I wish he could, but he can't.",Delivery Room
7,1,Mark,Mark,How did I become the hospital's spin doctor?,Delivery Room
7,1,Sophie,Mark,I want an epidural!,Delivery Room
7,1,Midwife,Sophie,"Hello, hello, Sophie, how we doing?",Delivery Room
7,1,Midwife,Mark,"Hi, boys.",Delivery Room
7,1,Midwife,Sophie,"OK, darling, baby's doing fine. I just wanna see how you're doing, see how dilated you are, OK?",Delivery Room
7,1,Mark,Mark,"Hmm, stuck on the medical channel and there's no remote control.",Delivery Room
7,1,Jeremy,Mark,Maybe some music?,Delivery Room
7,1,Mark,Jeremy,"Yes, yeah, maybe some music.",Delivery Room
7,1,Sophie,Mark,Uh-huh.,Delivery Room
7,1,Mark,Mark,What a bastard. That's gonna drive us all totally bonkers.,Delivery Room
7,1,Midwife,Sophie,"Yeah, you're doing great, you're fully dilated. Your baby's coming, there's no time for an epidural.",Delivery Room
7,1,Sophie,Mark,She put her whole hand in.,Delivery Room
7,1,Mark,Sophie,Blimey.,Delivery Room
7,1,Sophie,Mark,I didn't think she'd put her whole hand in.,Delivery Room
7,1,Mark,Sophie,"No, God.",Delivery Room
7,1,Jeremy,Mark,"Look, maybe I should go.",Delivery Room
7,1,Mark,Mark,"Of course, brings the insufferable music, then goes. He's like the 1980s.",Delivery Room
7,1,Mark,Super Hans,"Hello, Hans? Oh, OK, I'll be right down.",Delivery Room
7,1,Mark,Jeremy,"That was Super Hans. He's here, he wants money to fix the boiler.",Delivery Room
7,1,Jeremy,Mark,"Yeah, I called him earlier, boiler's sorted.",Delivery Room
7,1,Mark,Jeremy,You called Super Hans about the boiler? Super Hans is our plumber?,Delivery Room
7,1,Jeremy,Mark,"No, not Hans, his mate, his mate's a plumber.",Delivery Room
7,1,Mark,Jeremy,"Oh, great, I wonder if he appears on the CORGI Gas Safe Register, or just the sex offenders.",Delivery Room
7,1,Mark,Mark,"That's right, pay Hans to do the plumbing, swap the cow for some magic beans.",Outside
7,1,Mark,Super Hans,"Half a monkey, as requested.",Outside
7,1,Mark,Mark,Why am I dealing in animals? No animal-based transaction has ever gone well.,Outside
7,1,Super Hans,Mark,It's for parts and that.,Outside
7,1,Mark,Mark,I'll probably end up with half a Ford Escort and some porno tapes and we'll call it all square.,Outside
7,1,Mark,Super Hans,Is he the plumber?,Outside
7,1,Super Hans,Mark,"Relax, Mark, we can definitely do plumbing, it's not an issue. Trojan's very capable, after his sleep. Plumbing's just fucking Lego, innit, water Lego. So, how's it all going with Soph and the baby?",Outside
7,1,Mark,Super Hans,"You know, for a while it's been pretty boring but I think we're getting to the utterly terrifying bit.",Outside
7,1,Super Hans,Mark,"Take my advice, stay away from the goal end, mate.",Outside
7,1,Mark,Super Hans,Yeah?,Outside
7,1,Super Hans,Mark,"Yeah. You don't wanna get thinking about that. It's like the Channel Tunnel. Lovely, it's all about your holidays, but imagine you saw a fucking huge baby come out of it. Never be the same again.",Outside
7,1,Mark,Super Hans,Right.,Outside
7,1,Super Hans,Mark,"One other tip, trip.",Outside
7,1,Mark,Super Hans,What?,Outside
7,1,Super Hans,Mark,"Trip your fucking nuts off, makes it amazing.",Outside
7,1,Mark,Super Hans,Isn't it pretty amazing anyway?,Outside
7,1,Super Hans,Mark,"Dunno, yeah, maybe. But if you're tripping and you're having a baby, it's like, fuuuck! You know, you see a little guy come out of there, what's gonna happen next? Frogs out of her arsehole? Milk out of her ears? Anything's possible.",Outside
7,1,Super Hans,Others,Oi.,Outside
7,1,Others,Super Hans,What?,Outside
7,1,Super Hans,Others,Let's drive.,Outside
7,1,Mark,Mark,"If those two fix my boiler, I think it will be more surprising than if Sophie gave birth to a working replica of Stephenson's Rocket.",Outside
7,1,Mark,Sophie,"Hi, Soph, back now, can I do anything?",Delivery Room
7,1,Midwife,Sophie,"You're doing great, Sophie. You're doing good.",Delivery Room
7,1,Mark,Mark,"Oh, God, the screaming, poor Sophie. I definitely couldn't give birth. I want to call Dignitas when I get lumbar pain.",Delivery Room
7,1,Midwife,Sophie,"Now, don't push if you don't need to. Take a rest, Sophie. You're doing well.",Delivery Room
7,1,Mark,Mark,I can't just keep standing to attention like Captain Mark Phillips. Could march around the room like Nelson on his quarterdeck. I'm just a spare part.,Delivery Room
7,1,Midwife,Mark,Why don't you stop walking round like that and come over here?,Delivery Room
7,1,Mark,Mark,"And the fun part is, everything I do is basically wrong. If I can just get hold of a hand, that might feel useful.",Delivery Room
7,1,Sophie,Mark,"Oh, it's now, Mark, it's now!",Delivery Room
7,1,Mark,Sophie,"Right, right, yes, I'm sure, but just don't use all your energy, 'cause you did say that eight hours ago, and it wasn't now, and I don't want to be a doubting Thomas, but-",Delivery Room
7,1,Sophie,Mark,Bastard! Bastard! Fuck! Bastard!,Delivery Room
7,1,Mark,Mark,Is that for me or just general bastarding?,Delivery Room
7,1,Sophie,Mark,"Oh, fuck off, fuck off!",Delivery Room
7,1,Mark,Mark,"If she keeps saying fuck off, I might fuck off. That's gotta be within your rights, to fuck off, if someone repeatedly screams at you to fuck off.",Delivery Room
7,1,Mark,Sophie,Can I- I just need to nip to the little boys' room.,Delivery Room
7,1,Mark,Mark,"Yeah, the little boys' room, for little boys.",Delivery Room
7,1,Jeremy,Zahra,"There we go, one for you and one for Ben.",Ben's Hospital Room
7,1,Zahra,Jeremy,"Thanks, Jez.",Ben's Hospital Room
7,1,Jeremy,Zahra,"I'll have Ben's for him, shall I?",Ben's Hospital Room
7,1,Jeremy,Ben,"Here's to you, Ben.",Ben's Hospital Room
7,1,Zahra,Jeremy,"I guess... I mean, the thing I think is, if he doesn't make it, God forbid, at least he lived to the max. The Iron Man, we think we were once in the same bar as Banksy.",Ben's Hospital Room
7,1,Jeremy,Zahra,"Wow, yeah, I mean, there's a time for everything, isn't there? You know, there's a time for golf, a time for stew.",Ben's Hospital Room
7,1,Zahra,Jeremy,"Hmm, yeah.",Ben's Hospital Room
7,1,Jeremy,Jeremy,"Come on, Guru Jez.",Ben's Hospital Room
7,1,Jeremy,Zahra,"I mean, it's the whole circle of life, isn't it? I mean, if you believe in reincarnation, imagine if he... went, at the exact same moment that my friend's baby was born. Ben's spirit, his essence, might live on, Bluetoothed into the baby.",Ben's Hospital Room
7,1,Zahra,Jeremy,"Yeah, I suppose I could accept that, in a way. It's just, I'm dangling, you know?",Ben's Hospital Room
7,1,Jeremy,Zahra,We need to get you some answers. Is he going to pull through? You need to know.,Ben's Hospital Room
7,1,Jeremy,Jeremy,"I need to know. Right now, I'm a supporting character in a weepy, when I want to be the leading man in a porno.",Ben's Hospital Room
7,1,Mark,Mark,"Yeah, OK, off to the toilet, have a wee and then back in. I could walk quicker, but it's interesting to note that I'm not. I'm walking at what I would describe in court as a normal pace, but which I think is actually slightly slower than normal. There's the toilet. Hmm, why didn't I go in? Here I go, into here. OK, this is interesting, where am I going now?",Hospital
7,1,Mark,Mark,"I think this is OK, this is something somebody might do in my situation. ""My wife was going into labour, and I decided to leave her ever so briefly, to grab something to eat to fortify me for the events ahead"". ""Oh, right, that sounds wise, that you got a chicken bucket early on"". ""Yes, I know.""",KFC
7,1,Mark,Others,"Chicken bucket, please.",KFC
7,1,Others,Mark,"That's gonna take a few minutes, is that OK?",KFC
7,1,Mark,Others,"Yes, I can wait.",KFC
7,1,Mark,Mark,"Eating from a bucket like a human horse. I feel refreshed and replenished and now back to the hospital. No need to run, and still got some beans and a sweetcorn for Sophie. Probably just what she fancies.",Outside
7,1,Mark,Mark,"Hmmm. Is this the worst thing I've ever done? It might be. You can't hide behind that pillar, I'm a sharpshooter. I bet she's OK, all the staff. I'm better off here, I'm safe here, with the gangsters in the killing zone. The abandoned subway station, my safe place, my good place.",Arcade
7,1,Others,Mark,"Looks like you're in trouble there, mate.",Arcade
7,1,Mark,Mark,"Oddball alert, do not respond, do not engage. Oh, God, he's broken through my icy force field. Maybe he's having a baby, maybe everyone in here is having babies.",Arcade
7,1,Jeremy,Doctor,"This is difficult, but if he does make it through, will he still be... operating from below the waistal area?",Ben's Hospital Room
7,1,Doctor,Jeremy,You mean-?,Ben's Hospital Room
7,1,Jeremy,Doctor,"Will he still be able to, communicate... with his... communication rod, or will he no longer be able to... lift the drawbridge, so to speak? I'm thinking about Zahra's needs.",Ben's Hospital Room
7,1,Doctor,Jeremy,"Look, I can't speculate on that, but I'll be frank with you. We really need to see some movement in the next 24 hours from Ben if a full recovery is going to be on the cards.",Ben's Hospital Room
7,1,Jeremy,Doctor,"Thank you, doctor.",Ben's Hospital Room
7,1,Jeremy,Jeremy,I'm twenty-four hours from Tulsa.,Ben's Hospital Room
7,1,Zahra,Jeremy,"Thanks, Jez.",Ben's Hospital Room
7,1,Jeremy,Jeremy,"Finally, I'm in pole position. Ben checks out, I check in. I mean, I definitely, definitely hope he doesn't, but if he does, then...",Ben's Hospital Room
7,1,Jeremy,Zahra,Urgh!,Ben's Hospital Room
7,1,Zahra,Jeremy,"What, Jeremy?",Ben's Hospital Room
7,1,Jeremy,Zahra,Nothing.,Ben's Hospital Room
7,1,Jeremy,Jeremy,"Don't tell her, don't raise her hopes. Could have been anything. Phantom toe syndrome, methane build-up, disturbance in the force. Oh, bollocks.",Ben's Hospital Room
7,1,Jeremy,Zahra,"Zahra, I think Ben's trying to tell you something, with his foot.",Ben's Hospital Room
7,1,Zahra,Jeremy,"Oh, my God look, he's gonna be fine. Everything's gonna be fine, Jez!",Ben's Hospital Room
7,1,Jeremy,Zahra,"That's brilliant, Zahra!",Ben's Hospital Room
7,1,Jeremy,Jeremy,"Fucking great, the mummy returns. Finally find the woman of my dreams, and her boyfriend reanimates.",Ben's Hospital Room
7,1,Mark,Mark,"Fuck you, fuck you, fuck you!",Arcade
7,1,Jeremy,Mark,Nice.,Arcade
7,1,Mark,Jeremy,Jez?,Arcade
7,1,Others,Jeremy,Who's the jerk?,Arcade
7,1,Jeremy,Others,"Easy, buddy.",Arcade
7,1,Jeremy,Mark,"I went to see Soph, why are you not in there?",Arcade
7,1,Mark,Jeremy,"Yeah, well, Sophie wanted me to grab five and play some Lethal Enforcers.",Arcade
7,1,Jeremy,Mark,Really?,Arcade
7,1,Mark,Jeremy,"Yeah, she was all, grab five, Mark, you deserve it, I'll be fine.",Arcade
7,1,Jeremy,Mark,She didn't mention that. The midwife didn't mention that.,Arcade
7,1,Mark,Jeremy,"Yeah, I know, that's because I'm lying.",Arcade
7,1,Jeremy,Mark,"Look, Mark, I get it, if this was happening to me, I'd be doing what you're doing a hundred times over. But you don't want to look back on today thinking when your baby was being born, you were taking out a ninja.",Arcade
7,1,Others,Jeremy,Yakuza.,Arcade
7,1,Jeremy,Mark,You need to get back in there.,Arcade
7,1,Mark,Mark,"He's right, thank God I didn't do bottle of whisky and random easyJet. I can still pull this round.",Arcade
7,1,Mark,Nurse,"Hi. Oh, you're not...",Delivery Room
7,1,Mark,Mark,"That could so easily have been me, a useless gnome, fishing for turds.",Delivery Room
7,1,Mark,Nurse,"Sorry, this should be my birth, where's-",Delivery Room
7,1,Nurse,Mark,Sophie Chapman is in theatre three.,Delivery Room
7,1,Mark,Nurse,Theatre?,Delivery Room
7,1,Mark,Mark,"Theatre, nothing good has ever happened in a theatre. Oh, fuck!",Delivery Room
7,1,Mark,Sophie,"Sophie, are you OK?",Theatre
7,1,Sophie,Mark,"Yeah, I am.",Theatre
7,1,Mark,Sophie,"I'm so sorry I went, I just... I don't know what to say.",Theatre
7,1,Sophie,Mark,"Did you go, I've been pretty out of it. How long were you gone for?",Theatre
7,1,Mark,Sophie,"Oh, how long? Oh... ages. Like, three or four minutes.",Theatre
7,1,Mark,Mark,"This is amazing, I could have finished the level, had an Angry Whopper and upgraded my phone tariff.",Theatre
7,1,Midwife,Mark,"Everything slowed down and we wanted to get the baby out, so we decided to come for Cesarean section.",Theatre
7,1,Mark,Midwife,"That's brilliant, I love the salad, now I'll try the birth. The Caesar... Caesarean salad, sorry, I'm gabbling. I'm just happy it's all OK.",Theatre
7,1,Sophie,Mark,How's it looking down there?,Theatre
7,1,Mark,Sophie,Oh-,Theatre
7,1,Midwife,Mark,You might not necessarily want to.,Theatre
7,1,Mark,Mark,"Holy fuck, living innards, I thought now it'll be hi-tech, chip and pin, not London Dungeon.",Theatre
